Row ID,Order ID,Order Date,Order Priority,Order Quantity,Target Profit,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
149,933,4-Aug-12,Not Specified,15,5.28,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia Miner,New York,East,Small Business,Office Supplies,Binders and Binder Accessories,Wilson Jones 1  Hanging DublLock® Ring Binders,Small Box,0.37,4-Aug-12
160,995,30-May-11,Medium,46,792.91,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola Schneider,New York,East,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,31-May-11
161,998,25-Nov-09,Not Specified,16,103.8,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen Rosenblatt,New York,East,Small Business,Office Supplies,Envelopes,#10-4 1/8  x 9 1/2  Premium Diagonal Seam Envelopes,Small Box,0.4,26-Nov-09
175,1154,14-Feb-12,Critical,44,450.72,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Sylvia Foulston,New York,East,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,16-Feb-12
176,1154,14-Feb-12,Critical,11,-471.04,663.78,0.25,Regular Air,-481.04,71.37,69,Sylvia Foulston,New York,East,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,16-Feb-12
203,1344,15-Apr-12,Low,15,-1.68,834.9,0.06,Regular Air,-11.68,65.99,5.26,Jim Radford,New York,East,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,22-Apr-12
204,1344,15-Apr-12,Low,18,323.58,2480.92,0.01,Regular Air,313.58,155.99,8.99,Jim Radford,New York,East,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,19-Apr-12
213,1412,12-Mar-10,Not Specified,13,36.92,59.03,0.1,Express Air,26.92,3.69,0.5,Carlos Soltero,New York,East,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,14-Mar-10
214,1412,12-Mar-10,Not Specified,21,4.23,97.48,0.05,Regular Air,-5.77,4.71,0.7,Carlos Soltero,New York,East,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,14-Mar-10
229,1539,9-Mar-11,Low,33,-162.88,511.83,0.1,Regular Air,-172.88,15.99,13.18,Carl Ludwig,New York,East,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2  x 11 ",Small Box,0.37,11-Mar-11
230,1539,9-Mar-11,Low,38,-134.55,184.99,0.05,Regular Air,-144.55,4.89,4.93,Carl Ludwig,New York,East,Corporate,Technology,Computer Peripherals,"Maxell 3.5  DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,14-Mar-11
231,1540,4-Aug-12,High,30,15.76,80.9,0.09,Regular Air,5.76,2.88,0.7,Don Miller,New York,East,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,6-Aug-12
249,1702,6-May-11,High,23,14.9,67.24,0.06,Regular Air,4.9,2.84,0.93,Annie Cyprus,New York,East,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent  Tank-Style Highlighters,Wrap Bag,0.54,7-May-11
250,1761,23-Dec-10,High,25,-537.61,12028.23,0.01,Delivery Truck,-547.61,449.99,49,Carl Ludwig,New York,East,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,25-Dec-10
256,1792,8-Nov-10,Low,28,4.55,370.48,0.04,Regular Air,-5.45,13.48,4.51,Carlos Soltero,New York,East,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,13-Nov-10
330,2275,21-Oct-12,Not Specified,49,51.67,278,0.08,Regular Air,41.67,6.08,1.17,Grant Carroll,New York,East,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,22-Oct-12
331,2277,1-Jan-11,Not Specified,10,-36.03,66.54,0.01,Regular Air,-46.03,5.98,4.38,Don Miller,New York,East,Home Office,Technology,Computer Peripherals,"Imation 3.5  DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,2-Jan-11
332,2277,1-Jan-11,Not Specified,21,43.67,845.32,0.06,Regular Air,33.67,40.99,19.99,Don Miller,New York,East,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,3-Jan-11
362,2532,10-Oct-11,High,39,150.01,282.07,0.03,Regular Air,140.01,7.31,0.49,Alan Barnes,New York,East,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,11-Oct-11
363,2532,10-Oct-11,High,24,-68.96,426.04,0.01,Regular Air,-78.96,20.99,2.5,Alan Barnes,New York,East,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,11-Oct-11
381,2631,23-Sep-10,Low,27,262.66,1078.49,0.08,Regular Air,252.66,40.96,1.99,Jack Garza,New York,East,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,25-Sep-10
406,2757,19-Jul-11,Critical,39,-1756.01,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Julia West,New York,East,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,19-Jul-11
413,2791,9-Oct-09,High,47,-226.27,191.67,0,Regular Air,-236.27,3.89,7.01,Eugene Barchas,New York,East,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,9-Oct-09
414,2791,9-Oct-09,High,49,90.44,5586.33,0.09,Delivery Truck,80.44,120.98,30,Eugene Barchas,New York,East,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,11-Oct-09
415,2791,9-Oct-09,High,18,128.94,507.64,0.1,Regular Air,118.94,30.98,5.76,Eugene Barchas,New York,East,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11 , Case",Small Box,0.4,10-Oct-09
440,2976,9-Dec-10,Not Specified,30,3434.22,14223.82,0.09,Delivery Truck,3424.22,500.98,26,Edward Hooks,New York,East,Consumer,Furniture,Chairs & Chairmats,Global Troy  Executive Leather Low-Back Tilter,Jumbo Drum,0.6,11-Dec-10
471,3232,8-Oct-12,Critical,5,-1.83,42.66,0.06,Regular Air,-11.83,7.84,4.71,Brad Eason,New York,East,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue  Slant-D® Ring Binders by Cardinal,Small Box,0.35,10-Oct-12
513,3524,2-May-12,High,21,62.35,427.32,0,Regular Air,52.35,18.97,9.03,Nicole Hansen,New York,East,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,3-May-12
577,3908,8-Mar-10,Medium,8,-170.2,820.28,0,Regular Air,-180.2,115.99,2.5,Dorothy Wardle,New York,East,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,8-Mar-10
606,4132,28-May-11,Not Specified,5,11.32,14.76,0.01,Regular Air,1.32,2.88,0.5,Aaron Bergman,New York,East,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,30-May-11
656,4612,19-Sep-10,Medium,9,-365.64,89.55,0.06,Regular Air,-375.64,4.48,49,Jim Radford,New York,East,Corporate,Office Supplies,Appliances,Hoover Portapower  Portable Vacuum,Large Box,0.6,21-Sep-10
669,4676,31-Aug-11,High,11,-94.25,1210.05,0.04,Regular Air,-104.25,125.99,7.69,Annie Cyprus,New York,East,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,1-Sep-11
670,4676,31-Aug-11,High,50,95.96,187.83,0.03,Regular Air,85.96,3.75,0.5,Annie Cyprus,New York,East,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,2-Sep-11
671,4676,31-Aug-11,High,3,1.62,49.59,0.07,Express Air,-8.38,12.28,6.47,Annie Cyprus,New York,East,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,2-Sep-11
672,4676,31-Aug-11,High,30,1125.69,4253.01,0.01,Regular Air,1115.69,155.99,8.99,Annie Cyprus,New York,East,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,1-Sep-11
734,5284,8-Jul-11,Not Specified,7,6.95,59.38,0.1,Regular Air,-3.05,8.69,2.99,Annie Cyprus,New York,East,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10-Jul-11
735,5316,30-Jan-09,Critical,42,524.07,1285.37,0.1,Regular Air,514.07,31.78,1.99,Clay Rozendal,New York,East,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,1-Feb-09
755,5409,8-Jan-12,Low,11,2.96,48.91,0.01,Regular Air,-7.04,3.98,2.97,Don Jones,New York,East,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,13-Jan-12
769,5506,7-Nov-10,Critical,22,14.41,129.62,0.05,Regular Air,4.41,5.88,3.04,Beth Thompson,New York,East,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4 X8 1/2 , 300/Messages",Wrap Bag,0.36,8-Nov-10
782,5569,29-Apr-10,Not Specified,12,9.94,118.97,0.09,Regular Air,-0.06,9.65,6.22,Frank Price,New York,East,Corporate,Furniture,Office Furnishings,"Eldon Expressions  Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,1-May-10
786,5607,31-Dec-11,Not Specified,8,-40.33,61.87,0,Regular Air,-50.33,7.99,5.03,Michelle Lonsdale,New York,East,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,3-Jan-12
817,5894,12-Aug-09,High,7,97.68,384.33,0.1,Regular Air,87.68,58.1,1.49,Ann Chong,New York,East,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,13-Aug-09
818,5894,12-Aug-09,High,3,-58.22,239.03,0.01,Regular Air,-68.22,80.48,4.5,Ann Chong,New York,East,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,15-Aug-09
821,5925,12-Nov-11,Low,44,-344.9,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Joy Bell,New York,East,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,19-Nov-11
822,5925,12-Nov-11,Low,25,-257.01,1733.36,0.07,Regular Air,-267.01,85.99,0.99,Joy Bell,New York,East,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,19-Nov-11
839,6016,20-Jan-12,High,19,13.63,208.28,0.07,Regular Air,3.63,11.48,5.43,Skye Norling,New York,East,Home Office,Office Supplies,Paper,Personal Creations  Ink Jet Cards and Labels,Small Box,0.36,20-Jan-12
853,6116,20-Mar-09,Medium,6,-1749.58,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Barry Weirich,New York,East,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,22-Mar-09
863,6182,21-Jul-12,Low,40,-106.79,255.48,0.04,Regular Air,-116.79,6.48,6.65,Grant Carroll,New York,East,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,28-Jul-12
864,6182,21-Jul-12,Low,18,-57.28,130.32,0.04,Express Air,-67.28,6.48,7.86,Grant Carroll,New York,East,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,25-Jul-12
911,6535,12-Jun-12,Critical,11,-9.33,312.36,0.07,Express Air,-19.33,28.15,8.99,Adrian Hane,New York,East,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,15-Jun-12
950,6884,15-Jan-09,Low,41,-51.21,217,0.01,Regular Air,-61.21,4.98,4.75,Skye Norling,New York,East,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,20-Jan-09
951,6884,15-Jan-09,Low,47,129.09,296.13,0.04,Regular Air,119.09,6.35,1.02,Skye Norling,New York,East,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2  x 3 3/16 ",Wrap Bag,0.39,20-Jan-09
956,6916,4-Jun-10,Low,40,-131.27,436.17,0.08,Express Air,-141.27,10.9,7.46,Andrew Gjertsen,New York,East,Consumer,Office Supplies,Storage & Organization,Crate-A-Files ,Small Box,0.59,8-Jun-10
963,6980,18-Feb-10,Not Specified,18,-67.28,136.29,0.05,Regular Air,-77.28,7.3,7.72,Ralph Knight,New York,East,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,19-Feb-10
964,6982,16-Nov-11,Not Specified,32,417.44,1311.25,0,Express Air,407.44,39.48,1.99,Dorothy Wardle,New York,East,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,18-Nov-11
965,6982,16-Nov-11,Not Specified,5,-328.27,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Dorothy Wardle,New York,East,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,18-Nov-11
966,6982,16-Nov-11,Not Specified,41,62.56,844.09,0.04,Regular Air,52.56,19.98,10.49,Dorothy Wardle,New York,East,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,18-Nov-11
988,7110,7-Aug-11,Low,22,1912.24,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Grant Carroll,New York,East,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,11-Aug-11
1017,7430,8-Jun-10,Medium,50,363.2,751.77,0.05,Regular Air,353.2,15.67,1.39,Barry Weirich,New York,East,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,9-Jun-10
1073,7906,17-Oct-09,Medium,37,281.78,1003.06,0.03,Regular Air,271.78,25.98,5.37,Beth Paige,New York,East,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,17-Oct-09
1154,8391,28-Aug-11,High,4,-258.36,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Sylvia Foulston,New York,East,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,29-Aug-11
1156,8419,29-Sep-11,Critical,19,80.39,368.04,0.07,Express Air,70.39,19.98,5.97,Nicole Hansen,New York,East,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,1-Oct-11
1157,8419,29-Sep-11,Critical,24,-76.62,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nicole Hansen,New York,East,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,30-Sep-11
1205,8833,4-May-12,Low,40,-836.73,3338.98,0,Regular Air,-846.73,80.98,35,Nicole Hansen,New York,East,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,8-May-12
1226,8995,17-May-11,High,5,18.05,24.16,0.08,Express Air,8.05,1.88,1.49,Beth Paige,New York,East,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,18-May-11
1227,8995,17-May-11,High,41,-68.02,270.84,0.1,Express Air,-78.02,6.48,5.86,Beth Paige,Washington,West,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,18-May-11
1228,8995,17-May-11,High,35,747.94,3389.93,0.08,Express Air,737.94,102.3,21.26,Beth Paige,Washington,West,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,18-May-11
1229,8995,17-May-11,High,42,-181.28,266.36,0.07,Regular Air,-191.28,6.48,8.19,Beth Paige,Washington,West,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,18-May-11
1230,8995,17-May-11,High,46,-11.49,89.41,0.01,Regular Air,-21.49,1.89,0.76,Beth Paige,Washington,West,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,19-May-11
1258,9126,17-Nov-09,Medium,47,894.08,2799.7,0.04,Regular Air,884.08,62.05,3.99,Sylvia Foulston,Washington,West,Corporate,Office Supplies,Appliances,"Acco Smartsocket  Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,18-Nov-09
1259,9127,10-Oct-11,Not Specified,7,-319.49,2039.56,0.04,Express Air,-329.49,279.48,35,Bryan Davis,Washington,West,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,12-Oct-11
1299,9509,7-Oct-12,Not Specified,36,2835.15,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Joy Bell,Washington,West,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda  Round Back Stacking Chairs,Jumbo Drum,0.57,8-Oct-12
1300,9509,7-Oct-12,Not Specified,5,12.13,101.21,0.1,Express Air,2.13,18.97,5.21,Joy Bell,Washington,West,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,8-Oct-12
1301,9509,7-Oct-12,Not Specified,32,717.15,1585.64,0.02,Regular Air,707.15,48.91,5.81,Joy Bell,Washington,West,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,7-Oct-12
1337,9763,13-Aug-11,Medium,44,85.13,176.26,0.07,Regular Air,75.13,4.13,0.5,Alan Barnes,Washington,West,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,16-Aug-11
1370,9927,16-Aug-11,High,32,-260.63,4655.07,0,Delivery Truck,-270.63,140.98,53.48,Grant Carroll,Washington,West,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,17-Aug-11
1371,9927,16-Aug-11,High,44,3397.35,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Grant Carroll,Washington,West,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage  Folding Chairs, 4/Carton",Large Box,0.57,17-Aug-11
1372,9927,16-Aug-11,High,34,-72.16,1608.08,0.09,Express Air,-82.16,50.98,6.5,Grant Carroll,Washington,West,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,17-Aug-11
1380,10022,4-Mar-09,Low,1,6.12,12.18,0.06,Regular Air,-3.88,10.14,2.27,Delfina Latchford,Washington,West,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6  x 9 , 12/Pack",Wrap Bag,0.36,4-Mar-09
1445,10437,18-Aug-09,Critical,50,-181.22,820.52,0.01,Regular Air,-191.22,15.99,13.18,Don Jones,Washington,West,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2  x 11 ",Small Box,0.37,20-Aug-09
1457,10499,16-Nov-10,Not Specified,29,41.21,6250.94,0.01,Delivery Truck,31.21,262.11,62.74,Doug Bickford,Washington,West,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,17-Nov-10
1462,10535,27-May-11,Low,25,-34.14,854.88,0.09,Regular Air,-44.14,33.98,19.99,Doug Bickford,Washington,West,Corporate,Furniture,Office Furnishings,Linden® 12  Wall Clock With Oak Frame,Small Box,0.55,29-May-11
1463,10535,27-May-11,Low,46,9.21,80.27,0.09,Regular Air,-0.79,1.76,0.7,Doug Bickford,Washington,West,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,3-Jun-11
1495,10789,23-Aug-10,Not Specified,15,86.42,308.54,0,Express Air,76.42,19.84,4.1,Jamie Kunitz,Washington,West,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,24-Aug-10
1496,10791,19-Aug-11,Not Specified,20,103.36,400.57,0.05,Regular Air,93.36,19.98,5.77,Anthony Johnson,Washington,West,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,21-Aug-11
1513,10945,3-Jan-12,Medium,14,14.22,1170.03,0.04,Regular Air,4.22,95.99,8.99,Ralph Knight,Washington,West,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,5-Jan-12
1544,11137,29-Nov-12,High,48,405.12,5188.86,0.1,Regular Air,395.12,111.03,8.64,Allen Rosenblatt,Washington,West,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,30-Nov-12
1551,11202,17-Mar-12,Medium,8,89.59,339.81,0.05,Regular Air,79.59,43.41,2.99,Barry Weirich,Washington,West,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,18-Mar-12
1589,11456,12-Apr-10,Low,15,409.37,1519.9,0.09,Regular Air,399.37,105.34,24.49,Doug Bickford,Washington,West,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,19-Apr-10
1590,11460,24-Aug-10,High,30,47.79,102.24,0.09,Regular Air,37.79,3.69,0.5,Carl Jackson,Washington,West,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,26-Aug-10
1594,11495,4-Jul-11,High,6,-134.2,965.69,0,Delivery Truck,-144.2,146.34,43.75,Brendan Dodson,Washington,West,Corporate,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Jumbo Box,0.65,5-Jul-11
1654,11911,10-Nov-10,Critical,25,-4.75,397.84,0,Regular Air,-14.75,15.22,9.73,Edward Hooks,Washington,West,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Twin Loop  Wire Binding Elements, 9/16  Spine, Black",Small Box,0.36,12-Nov-10
1655,11941,24-Jun-10,Critical,4,-31.01,73.07,0.08,Regular Air,-41.01,15.7,11.25,Jamie Kunitz,Washington,West,Corporate,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,25-Jun-10
1656,11941,24-Jun-10,Critical,26,121.52,4679.1,0.05,Delivery Truck,111.52,179.29,29.21,Jamie Kunitz,Washington,West,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,0.74,25-Jun-10
1675,12096,19-Sep-12,Medium,46,2342.4,8009.59,0.02,Regular Air,2332.4,200.99,8.08,Michelle Lonsdale,Washington,West,Home Office,Technology,Telephones and Communication,5125,Small Box,0.59,19-Sep-12
1676,12096,19-Sep-12,Medium,23,2186.19,4689.66,0.01,Regular Air,2176.19,194.3,11.54,Michelle Lonsdale,Washington,West,Home Office,Furniture,Office Furnishings,Electrix Halogen Magnifier Lamp,Large Box,0.59,21-Sep-12
1710,12289,24-Dec-11,Low,25,1279.05,3019.41,0.04,Regular Air,1269.05,120.97,7.11,Brendan Dodson,Washington,West,Corporate,Technology,Office Machines,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Medium Box,0.36,28-Dec-11
1718,12352,23-Mar-12,Medium,5,-22.82,36.86,0.07,Regular Air,-32.82,5.81,8.49,Hunter Glantz,Washington,West,Corporate,Office Supplies,Binders and Binder Accessories,Fellowes Black Plastic Comb Bindings,Small Box,0.39,24-Mar-12
1727,12419,15-Oct-11,Critical,12,5332.14,22079.47,0.06,Regular Air,5322.14,1938.02,13.99,Sylvia Foulston,Washington,West,Corporate,Technology,Office Machines,Polycom ViewStation  Adapter H323 Videoconferencing Unit,Medium Box,0.38,17-Oct-11
1745,12485,7-Aug-10,Critical,24,1078.48,5407.31,0.04,Delivery Truck,1068.48,226.67,28.16,Eugene Barchas,Washington,West,Home Office,Furniture,Chairs & Chairmats,Hon GuestStacker Chair,Jumbo Drum,0.59,8-Aug-10
